Ctx_Color_List,stim_key_map_ctx1,stim_key_map_ctx2,stim_key_remap_ctx1,stim_key_remap_ctx2,Import_File.thisRepN,Import_File.thisTrialN,Import_File.thisN,Import_File.thisIndex,Import_File.ran,Stim,Ctx_Color,Key,KeyNum,imStim,X_Pos,Y_Pos,Hand,Check,Cross,participant,session,date,expName,psychopyVersion,OS,frameRate,Instr_RT_Old_Press.keys,Instr_RT_Old_Press.rt,Instr_Block_Num_Press.keys,Instr_Block_Num_Press.rt,RT_Press.keys,RT_Press.corr,RT_Press.rt,Symbol,Shape,Ctx,Color,Stim_Num,Key_Num,Stim_Type,True_Key,Block_Type,Remap,Repeat_Count,Trial_Count,Grp,Block_Num,Prep_Time,Ctx_Prep_Time,Actual_Press,RT,Correct,Session,RT_Old_Iter.thisRepN,RT_Old_Iter.thisTrialN,RT_Old_Iter.thisN,RT_Old_Iter.thisIndex,RT_Old_Iter.ran,RT_Old_Block.thisRepN,RT_Old_Block.thisTrialN,RT_Old_Block.thisN,RT_Old_Block.thisIndex,RT_Old_Block.ran
,,,,,,,,,,,,,,,,,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,i,1,1.156925,2,media/dknb.png,1,"[1,-1,-1]",2,0,Symb,i,RT,0,0,49,1,1,99,99,i,1.156925,1,2,49,0,49,0,1,,,,,
,,,,,,,,,,,,,,,,,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,h,1,2.56449,0,media/dcnb.png,2,"[-1,1,-1]",3,0,Symb,h,RT,0,0,50,1,1,99,99,h,2.56449,1,2,50,0,50,0,1,,,,,
,,,,,,,,,,,,,,,,,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,i,1,1.29195,1,media/dfnb.png,2,"[-1,1,-1]",4,1,Symb,i,RT,0,0,51,1,1,99,99,i,1.29195,1,2,51,0,51,0,1,,,,,
,,,,,,,,,,,,,,,,,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,i,1,0.39445,1,media/dfnb.png,2,"[-1,1,-1]",4,1,Symb,i,RT,0,0,52,1,1,99,99,i,0.39445,1,2,52,0,52,0,1,,,,,
,,,,,,,,,,,,,,,,,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,h,1,0.586935,1,media/dfnb.png,1,"[1,-1,-1]",1,1,Symb,h,RT,0,0,53,1,1,99,99,h,0.586935,1,2,53,0,53,0,1,,,,,
,,,,,,,,,,,,,,,,,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,h,0,0.40591,1,media/dfnb.png,2,"[-1,1,-1]",4,1,Symb,i,RT,0,0,54,1,1,99,99,h,0.40591,0,2,54,0,54,0,1,,,,,
,,,,,,,,,,,,,,,,,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,u,1,0.89493,2,media/dknb.png,2,"[-1,1,-1]",5,0,Symb,u,RT,0,0,55,1,1,99,99,u,0.89493,1,2,55,0,55,0,1,,,,,
,,,,,,,,,,,,,,,,,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,h,1,1.710655,0,media/dcnb.png,2,"[-1,1,-1]",3,0,Symb,h,RT,0,0,56,1,1,99,99,h,1.710655,1,2,56,0,56,0,1,,,,,
,,,,,,,,,,,,,,,,,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,h,1,0.72897,1,media/dfnb.png,1,"[1,-1,-1]",1,1,Symb,h,RT,0,0,57,1,1,99,99,h,0.72897,1,2,57,0,57,0,1,,,,,
,,,,,,,,,,,,,,,,,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,i,1,0.92322,2,media/dknb.png,1,"[1,-1,-1]",2,0,Symb,i,RT,0,0,58,1,1,99,99,i,0.92322,1,2,58,0,58,0,1,,,,,
